time,nNFkB
0.0,0.0
1.0,0.41218130234727623
2.0,1.7532020639427761
3.0,4.189441460355762
4.0,7.885113341956414
5.0,13.001214085903536
6.0,19.69556137547439
7.0,28.122837277123505
8.0,38.43463087002524
9.0,50.77948041138156
10.0,65.30291503948217
11.0,82.14749601944469
12.0,101.45285753416724
13.0,123.35574702404462
14.0,147.9900650789575
15.0,175.4869048857681
16.0,205.9745912347348
17.0,239.5787190882624
18.0,276.42219171519497
19.0,316.6252583941478
20.0,360.3055516891231
21.0,407.57812430072676
22.0,458.55548549641793
23.0,513.3476371227141
24.0,572.0621092032206
25.0,634.8039951277685
26.0,701.6759864279843
27.0,772.7784071546818
28.0,848.2092478501859
29.0,928.0641991246713
30.0,1012.4366848370211
31.0,1101.4178948845456
32.0,1195.0968176052033
33.0,1293.5602717942359
34.0,1396.8929383403686
35.0,1505.177391483127
36.0,1618.4941296955365
37.0,1736.9216061956138
38.0,1860.5362590887642
39.0,1989.41254114617
40.0,2123.6229492205503
41.0,2263.238053303868
42.0,2408.326525230003
43.0,2558.955167024834
44.0,2715.1889389085486
45.0,2877.0909869516686
46.0,3044.7226703894003
47.0,3218.143588597089
48.0,3397.4116077295225
49.0,3582.5828870285754
50.0,3773.711904800858
51.0,3970.851484069951
52.0,4174.052817905788
53.0,4383.3654944342015
54.0,4598.837521530826
55.0,4820.5153512011475
56.0,5048.443903651276
57.0,5282.666591051756
58.0,5523.225340997715
59.0,5770.1606196692
60.0,6023.51145469365
61.0,6283.315457715037
62.0,6549.608846671728
63.0,6822.426467786678
64.0,7101.801817273404
65.0,7387.767062759866
66.0,7680.353064434732
67.0,7979.589395917773
68.0,8285.504364858334
69.0,8598.125033264905
70.0,8917.4772375681
71.0,9243.585608421341
72.0,9576.47359024093
73.0,9916.16346048949
74.0,10262.676348705521
75.0,10616.032255281561
76.0,10976.250069994925
77.0,11343.347590292806
78.0,11717.341539335588
79.0,12098.247583800918
80.0,12486.080351451155
81.0,12880.853448467877
82.0,13282.579476555242
83.0,13691.270049815992
84.0,14106.935811402394
85.0,14529.586449944842
86.0,14959.230715761529
87.0,15395.876436850975
88.0,15839.530534671116
89.0,16290.19903970697
90.0,16747.88710682979
91.0,17212.59903045067
92.0,17684.33825947053
93.0,18163.107412029978
94.0,18648.908290060885
95.0,19141.741893642597
96.0,19641.608435165497
97.0,20148.507353303805
98.0,20662.437326801006
99.0,21183.39628806947
100.0,21711.38143660732
101.0,22246.38925223481
102.0,22788.415508152295
103.0,23337.455283822794
104.0,23893.50297768072
105.0,24456.552319669667
106.0,25026.596383611348
107.0,25603.6275994077
108.0,26187.637765078962
109.0,26778.61805863913
110.0,27376.559049811713
111.0,27981.450711587488
112.0,28593.282431626372
113.0,29212.043023505896
114.0,29837.720737817675
115.0,30470.303273114616
116.0,31109.77778671034
117.0,31756.13090533294
118.0,32409.348735635307
119.0,33069.416874563336
120.0,33736.3204195846
121.0,34410.04397877876
122.0,35090.571680791865
123.0,35777.887184656436
124.0,36471.97368947858
125.0,37172.81394399471
126.0,37880.39025599877
127.0,38594.68450164218
128.0,39315.67813460809
129.0,40043.352195161264
130.0,40777.68731907581
131.0,41518.66374644165
132.0,42266.261330351816
133.0,43020.459545471895
134.0,43781.237496493115
135.0,44548.57392647072
136.0,45322.44722504877
137.0,46102.835436573216
138.0,46889.71626809436
139.0,47683.06709726011
140.0,48482.864980101636
141.0,49289.08665871236
142.0,50101.70856882091
143.0,50920.70684726392
144.0,51746.057339353254
145.0,52577.73560613883
146.0,53415.716931577925
147.0,54259.97632960157
148.0,55110.488551084614
149.0,55967.22809071819
150.0,56830.16919378762
151.0,57699.28586285662
152.0,58574.55186435616
153.0,59455.94073508402
154.0,60343.42578861126
155.0,61236.98012159931
156.0,62136.57662002932
157.0,63042.18796533923
158.0,63953.78664047761
159.0,64871.34493588026
160.0,65794.8349553506
161.0,66724.22862184953
162.0,67659.49768321076
163.0,68600.61371777952
164.0,69547.5481399658
165.0,70500.27220571684
166.0,71458.75701791189
167.0,72422.97353165848
168.0,73392.89255954497
169.0,74368.48477680246
170.0,75349.72072637863
171.0,76336.57082394898
172.0,77329.00536285166
173.0,78326.9945189463
174.0,79330.50835540163
175.0,80339.51682741006
176.0,81353.9897868334
177.0,82373.8969867742
178.0,83399.20808608191
179.0,84429.8926537858
180.0,85465.92017346334
181.0,86507.2600475384
182.0,87553.88160151406
183.0,88605.75408813969
184.0,89662.84669151097
185.0,90725.12853110816
186.0,91792.56866576691
187.0,92865.13609758992
188.0,93942.79977579197
189.0,95025.52860048694
190.0,96113.29142641068
191.0,97206.05706658521
192.0,98303.79429592284
193.0,99406.47185477006
194.0,100514.05845239518
195.0,101626.52277041528
196.0,102743.83346616919
197.0,103865.95917603071
198.0,104992.86851866916
199.0,106124.53009825191
200.0,107260.91250759417
201.0,108401.98433125419
202.0,109547.71414857465
203.0,110698.07053667269
204.0,111853.02207337572
205.0,113012.53734010848
206.0,114176.58492472608
207.0,115345.13342429999
208.0,116518.15144785147
209.0,117695.60761903792
210.0,118877.47057878994
211.0,120063.70898790014
212.0,121254.2915295658
213.0,122449.18691188307
214.0,123648.36387029715
215.0,124851.79117000428
216.0,126059.43760831153
217.0,127271.27201694957
218.0,128487.2632643432
219.0,129707.38025783787
220.0,130931.59194588306
221.0,132159.86732017458
222.0,133392.17541775317
223.0,134628.48532306432
224.0,135868.76616997184
225.0,137112.98714373942
226.0,138361.11748297486
227.0,139613.12648152438
228.0,140868.98349032731
229.0,142128.65791923887
230.0,143392.1192388182
231.0,144659.33698207754
232.0,145930.28074619177
233.0,147204.92019417233
234.0,148483.22505650576
235.0,149765.16513275792
236.0,151050.71029314373
237.0,152339.8304800618
238.0,153632.49570959603
239.0,154928.67607298598
240.0,156228.34173804978
241.0,157531.46295059708
242.0,158838.01003580037
243.0,160147.95339953076
244.0,161461.2635296639
245.0,162777.9109973586
246.0,164097.86645830388
247.0,165421.1006539352
248.0,166747.58441262116
249.0,168077.28865082172
250.0,169410.1843742187
251.0,170746.242678816
252.0,172085.43475201313
253.0,173427.7318736512
254.0,174773.10541703188
255.0,176121.52684990907
256.0,177472.9677354542
257.0,178827.3997331969
258.0,180184.7945999384
259.0,181545.12419064046
260.0,182908.36045928905
261.0,184274.47545973444
262.0,185643.44134650583
263.0,187015.23037560238
264.0,188389.8149052621
265.0,189767.16739670577
266.0,191147.260414859
267.0,192530.0666290514
268.0,193915.55881369443
269.0,195303.70984893633
270.0,196694.4927212957
271.0,198087.88052427486
272.0,199483.84645895127
273.0,200882.3638345487
274.0,202283.40606898817
275.0,203686.9466894192
276.0,205092.959332731
277.0,206501.4177460441
278.0,207912.2957871839
279.0,209325.56742513427
280.0,210741.20674047363
281.0,212159.18792579163
282.0,213579.48528608988
283.0,215002.07323916283
284.0,216426.92631596272
285.0,217854.01916094698
286.0,219283.3265324091
287.0,220714.82330279247
288.0,222148.48445898807
289.0,223584.28510261685
290.0,225022.2004502954
291.0,226462.20583388658
292.0,227904.2767007348
293.0,229348.38861388568
294.0,230794.5172522918
295.0,232242.63841100616
296.0,233692.72800135898
297.0,235144.76205111863
298.0,236598.7167046419
299.0,238054.5682230055
300.0,239512.292984132
